,WMO ID,Calib Type,Num Prof,RMSE(0-2000m),RMSE(500-2000m),RMSE(1000-2000m),RMSE_ADJ(0-2000m),RMSE_ADJ(500-2000m),RMSE_ADJ(1000-2000m),File
596,5902261,3,56.0,nan,nan,nan,13.693489676190547,6.5891812476759615,5.6041150343774495,compare_woa_v3/5902261_26lev.nc
597,5902265,4,6.94690843470177e-310,nan,nan,nan,nan,nan,nan,
598,5902266,4,1.2e-322,nan,nan,nan,nan,nan,nan,
599,5902267,4,6.94689852202477e-310,nan,nan,nan,nan,nan,nan,
600,5902269,3,148.0,nan,nan,nan,14.224667714214808,10.616418682838162,12.037674124933886,compare_woa_v3/5902269_26lev.nc
601,5902291,4,0.0,nan,nan,nan,nan,nan,nan,
602,5902295,1,93.0,nan,nan,nan,14.318557972482953,15.234819296884137,13.421695830121635,compare_woa_v3/5902295_26lev.nc
603,5902297,4,2.33419537154e-313,nan,nan,nan,nan,nan,nan,
604,5902298,3,86.0,nan,nan,nan,12.254346404283417,10.91454441143272,10.482801991063315,compare_woa_v3/5902298_26lev.nc
605,5902299,3,65.0,nan,nan,nan,10.506085378670832,9.1217117600611,10.227718463620334,compare_woa_v3/5902299_26lev.nc
606,5902300,3,123.0,nan,nan,nan,14.489288611947385,9.041877591606589,6.952545182017166,compare_woa_v3/5902300_26lev.nc
607,5902301,3,16.0,nan,nan,nan,7.361943848220254,5.208919707631489,2.5492560992524664,compare_woa_v3/5902301_26lev.nc
608,5902302,3,176.0,nan,nan,nan,11.898827516372535,11.072327694537265,8.441596570377481,compare_woa_v3/5902302_26lev.nc
609,5902303,4,2.97079410883e-313,nan,nan,nan,nan,nan,nan,
610,5902304,4,1e-322,nan,nan,nan,nan,nan,nan,
611,5902305,3,40.0,nan,nan,nan,15.590775425221825,18.972713293592303,16.73277384903873,compare_woa_v3/5902305_26lev.nc
612,5902306,3,106.0,nan,nan,nan,10.145565295125374,12.374752027327224,11.795660928852326,compare_woa_v3/5902306_26lev.nc
613,5902307,3,148.0,nan,nan,nan,14.234756612152696,16.513075608365902,18.03289958459607,compare_woa_v3/5902307_26lev.nc
614,5902308,3,125.0,nan,nan,nan,10.257283020416185,10.247575864177767,10.577383376863216,compare_woa_v3/5902308_26lev.nc
615,5903218,1,205.0,26.406434973791782,27.345559773354175,24.951686186236806,12.472258222204486,10.174634011132657,8.51993619646575,compare_woa_v3/5903218_26lev.nc
616,5903225,1,699.0,20.27722420123213,15.226780020645528,7.5808452935127315,13.077860760985143,14.183867424445317,15.312241786456912,compare_woa_v3/5903225_26lev.nc
617,5903226,1,207.0,23.980497195251672,22.874883545477378,20.237549827110072,10.102144980290975,10.934534398815277,7.646235806600525,compare_woa_v3/5903226_26lev.nc
618,5903242,1,206.0,24.647670806866735,20.36934811154544,18.856013873578117,15.18996214456379,9.968131342610128,7.400768117380213,compare_woa_v3/5903242_26lev.nc
619,5903248,1,373.0,33.63434831876801,27.882126934260803,24.742480419808373,26.844543625664077,19.458450234480196,15.420822686108037,compare_woa_v3/5903248_26lev.nc
620,5903255,1,217.0,19.916322341211448,17.46109045043911,15.802319755117226,11.322199764170936,10.66438614868326,7.3304883372981475,compare_woa_v3/5903255_26lev.nc
621,5903256,1,248.0,23.824297262520403,21.26799151127285,19.34066294812351,10.360161084676864,10.190364168377913,7.094863471409256,compare_woa_v3/5903256_26lev.nc
622,5903257,1,42.0,22.291169727753545,18.871529728392574,17.771938163916115,11.745983735135791,9.57489315506258,7.077422110933105,compare_woa_v3/5903257_26lev.nc
623,5903258,1,260.0,22.41415667286755,21.587746501870914,19.43486454200989,9.527992208778706,9.965338709169538,7.509581359942271,compare_woa_v3/5903258_26lev.nc
624,5903259,1,196.0,23.111718436530033,22.48246767830246,19.55701998326215,10.226127629759217,11.193002664933783,8.423893792621817,compare_woa_v3/5903259_26lev.nc
625,5903260,1,369.0,25.54390300133301,23.08598822512334,21.70569255100119,14.131283367966141,12.191723432196495,8.363613386207554,compare_woa_v3/5903260_26lev.nc
626,5903264,1,683.0,21.89067404701072,17.043234716616084,14.41467447042662,13.067784487221312,12.182610364892774,9.539613795804254,compare_woa_v3/5903264_26lev.nc
627,5903272,1,360.0,nan,nan,nan,16.2835416279961,13.576400104691341,nan,compare_woa_v3/5903272_26lev.nc
628,5903274,1,282.0,nan,nan,nan,28.92487397723741,11.385397771209673,nan,compare_woa_v3/5903274_26lev.nc
629,5903377,1,304.0,nan,nan,nan,19.23627254899137,27.62504784639162,nan,compare_woa_v3/5903377_26lev.nc
630,5903381,3,191.0,nan,nan,nan,13.245315230933995,14.059517527279674,10.060047137837506,compare_woa_v3/5903381_26lev.nc
631,5903382,3,69.0,nan,nan,nan,8.902566116673768,8.01665008206473,5.169431513078066,compare_woa_v3/5903382_26lev.nc
632,5903385,1,299.0,nan,nan,nan,12.506053153505224,8.245315467186398,2.4628384151611513,compare_woa_v3/5903385_26lev.nc
633,5903405,1,271.0,nan,nan,nan,21.62841380672126,8.13283584972715,nan,compare_woa_v3/5903405_26lev.nc
634,5903586,1,188.0,nan,nan,nan,28.902851116286115,9.345672748217753,nan,compare_woa_v3/5903586_26lev.nc
635,5903592,2,111.0,nan,nan,nan,13.76679908369087,8.019451777991943,10.491773738069208,compare_woa_v3/5903592_26lev.nc
636,5903593,2,268.0,nan,nan,nan,9.848448682485092,9.99000596060294,2.7001815395764837,compare_woa_v3/5903593_26lev.nc
637,5903594,1,253.0,nan,nan,nan,19.77590902656218,27.60883109643714,nan,compare_woa_v3/5903594_26lev.nc
638,5903611,1,426.0,nan,nan,nan,14.125399020282096,16.73945959856928,nan,compare_woa_v3/5903611_26lev.nc
639,5903612,2,225.0,nan,nan,nan,16.709363465696764,17.637540419766644,19.61694546829502,compare_woa_v3/5903612_26lev.nc
640,5903613,1,223.0,nan,nan,nan,24.885873877661336,21.890504591218175,21.2353368042957,compare_woa_v3/5903613_26lev.nc
641,5903614,1,185.0,nan,nan,nan,21.486215051088127,18.976078172765742,17.77481560848251,compare_woa_v3/5903614_26lev.nc
642,5903615,3,233.0,nan,nan,nan,17.96594759745973,11.730638522896141,8.270961295381168,compare_woa_v3/5903615_26lev.nc
643,5903616,3,233.0,nan,nan,nan,16.86766353085218,12.413981944131919,7.052851291243719,compare_woa_v3/5903616_26lev.nc
